,Barrio,Julio,Agosto
0,VILLA LURO,686,742
1,RECOLETA,1155,1669
2,VILLA GRAL. MITRE,686,780
3,FLORES,2308,3115
4,VILLA DEL PARQUE,1242,1625
5,COGHLAN,482,553
6,MATADEROS,1136,1281
7,VELEZ SARSFIELD,609,740
8,MONTE CASTRO,859,1126
9,PARQUE CHAS,535,604
10,PALERMO,2757,4246
11,PARQUE PATRICIOS,444,655
12,BARRACAS,1256,2254
13,VILLA LUGANO,1469,3139
14,SAAVEDRA,995,1194
15,VILLA DEVOTO,1990,1926
16,BALVANERA,1404,1536
17,VILLA ORTUZAR,459,507
18,VILLA PUEYRREDON,955,1049
19,VILLA URQUIZA,1890,2330
20,CABALLITO,2132,3006
21,CHACARITA,571,856
22,VILLA SOLDATI,564,722
23,RETIRO,600,340
24,FLORESTA,673,823
25,BELGRANO,1668,2388
26,COLEGIALES,789,1048
27,VERSALLES,359,350
28,PARQUE AVELLANEDA,1104,1050
29,NUÃ‘EZ,686,1054
30,CONSTITUCION,301,404
31,SAN CRISTOBAL,510,756
32,MONSERRAT,294,425
33,VILLA RIACHUELO,172,370
34,AGRONOMIA,355,524
35,VILLA SANTA RITA,709,905
36,PATERNAL,382,629
37,PUERTO MADERO,477,771
38,BOEDO,547,781
39,ALMAGRO,1202,1781
40,SAN NICOLAS,361,517
41,LINIERS,934,1069
42,NUEVA POMPEYA,459,524
43,PARQUE CHACABUCO,859,971
44,VILLA CRESPO,1077,1672
45,SAN TELMO,159,256
46,VILLA REAL,299,366
47,BOCA,252,352
